model,component,interest,sparsity,endog,exog,component_time,success,success_time,accuracy,execution_id
timeDecisionTree,Sensor-0_0_0.2,-1.1888682511595756,0.048780487804878,1,0,213,20,-1,-0.7849005964214584,I-120-12-5
timeDecisionTree,Sensor-0_0_0.4,-0.2142309549520342,0.048780487804878,1,0,213,20,-1,-21.777777777777583,I-120-12-5
timeDecisionTree,Sensor-0_0_0.6,-1.587580247768174,0.048780487804878,1,0,213,20,-1,-33878.89515460367,I-120-12-5
timeRandomForest,Sensor-0.25_0_0.2,-0.3829755040201144,0.048780487804878,1,0,470,20,-1,0.0,I-120-12-5
timeRandomForest,Sensor-0.25_0_0.4,-0.638920861738512,0.048780487804878,1,0,471,20,-1,-10.53350220025536,I-120-12-5
timeRandomForest,Sensor-0.25_0_0.6,-10.962898913075133,0.048780487804878,1,0,470,20,-1,-4213.262194071011,I-120-12-5
timeRandomForest,Sensor-0.5_0_0.2,-3.580881484900143,0.048780487804878,1,0,471,20,-1,-17.086205044481357,I-120-12-5
timeRandomForest,Sensor-0.5_0_0.4,-0.2505741964513439,0.048780487804878,1,0,474,20,-1,-580.3723835562704,I-120-12-5
timeRandomForest,Sensor-0.5_0_0.6,-7.079522855489008,0.048780487804878,1,0,573,20,-1,-25.06944682870536,I-120-12-5
timeRandomForest,Sensor-0.8_0_0.2,-0.5896250065596194,0.048780487804878,1,0,472,20,-1,-1.5594793305678842,I-120-12-5
timeRandomForest,Sensor-0.8_0_0.4,-0.2828599930270377,0.048780487804878,1,0,468,20,-1,-20.027002536944096,I-120-12-5
timeRandomForest,Sensor-0.8_0_0.6,-0.071521224993716,0.048780487804878,1,0,472,20,-1,-1.097388306762249,I-120-12-5
timeRandomForest,Sensor-0_0_0.2,-0.5799582623257509,0.048780487804878,1,0,470,20,-1,-0.0766045336264951,I-120-12-5
